Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_link,0.81995,3.347E-07,9.745E-05,0,0,0,26.056,0.7959,1.6789E-14,-1.9851E-07,1.47,1.3268E-08,2.1151,0,0,0,0,0,0,package://Pata_Robo_Parcial_URDF_V1.2/meshes/Base_link.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://Pata_Robo_Parcial_URDF_V1.2/meshes/Base_link.STL,,banco de pruebas-1;rodamiento lineal-2;rodamiento lineal-3;portarodamiento lineal-3;Encaje Cadera-3;portarodamiento lineal-4;Cadera-3;Cadera-4;Conector_Servo2-3;RDS51150-2/Servo_Drive-1;RDS51150-2/Servo_Idler-1;RDS51150-2/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing3.STEP-1;RDS51150-2/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing5.STEP-1;RDS51150-2/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing8.STEP-1;RDS51150-2/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing4.STEP-1,Coordinate_System_Global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Hip_Link,0.059729,0.0001899,-0.00021766,0,0,0,0.19411,5.2459E-05,-1.017E-07,-1.017E-07,8.9433E-05,-6.4685E-10,8.9433E-05,0,0,0,0,0,0,package://Pata_Robo_Parcial_URDF_V1.2/meshes/Hip_Link.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://Pata_Robo_Parcial_URDF_V1.2/meshes/Hip_Link.STL,,RDS51150-2/RDS51150-1-1;RDS51150-2/90751A110_18-8 Stainless Steel Socket Head Screws-4;RDS51150-2/90751A110_18-8 Stainless Steel Socket Head Screws-1;RDS51150-2/94459A768_Heat-Set Inserts for Plastic-6;RDS51150-2/94459A768_Heat-Set Inserts for Plastic-7;RDS51150-2/94459A768_Heat-Set Inserts for Plastic-4;RDS51150-2/94459A768_Heat-Set Inserts for Plastic-2;RDS51150-2/94459A768_Heat-Set Inserts for Plastic-3;RDS51150-2/94459A768_Heat-Set Inserts for Plastic-5;RDS51150-2/92000A106_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-2;RDS51150-2/92000A106_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-1;RDS51150-2/90751A110_18-8 Stainless Steel Socket Head Screws-2;RDS51150-2/94459A768_Heat-Set Inserts for Plastic-1;RDS51150-2/94459A768_Heat-Set Inserts for Plastic-8;RDS51150-2/94459A768_Heat-Set Inserts for Plastic-9;Conector_Servo1-3;Conector_Servo1-2;RDS51150-2/90751A110_18-8 Stainless Steel Socket Head Screws-3;RDS51150-3/RDS51150-1-1;RDS51150-3/90751A110_18-8 Stainless Steel Socket Head Screws-3;RDS51150-3/90751A110_18-8 Stainless Steel Socket Head Screws-2;RDS51150-3/94459A768_Heat-Set Inserts for Plastic-5;RDS51150-3/94459A768_Heat-Set Inserts for Plastic-4;RDS51150-3/94459A768_Heat-Set Inserts for Plastic-7;RDS51150-3/94459A768_Heat-Set Inserts for Plastic-3;RDS51150-3/94459A768_Heat-Set Inserts for Plastic-6;RDS51150-3/94459A768_Heat-Set Inserts for Plastic-2;RDS51150-3/92000A106_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-2;RDS51150-3/92000A106_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-1;RDS51150-3/94459A768_Heat-Set Inserts for Plastic-1;RDS51150-3/94459A768_Heat-Set Inserts for Plastic-9;RDS51150-3/94459A768_Heat-Set Inserts for Plastic-8;RDS51150-3/90751A110_18-8 Stainless Steel Socket Head Screws-1;RDS51150-3/90751A110_18-8 Stainless Steel Socket Head Screws-4,Coordinate_System_H,Axis_Joint_H,Hip_Joint,revolute,0.083749,0,0.2004,1.5708,0,0,Base_link,0,0,1,100,100,-1.5708,1.5708,,,,,,,,
Knee_Link,0.12138,0.00022499,0.00023022,0,0,0,0.21755,0.00017367,7.9209E-10,-8.4058E-09,0.00053617,-3.2733E-09,0.00039504,0,0,0,0,0,0,package://Pata_Robo_Parcial_URDF_V1.2/meshes/Knee_Link.STL,0.79216,0.81961,0.92941,1,0,0,0,0,0,0,package://Pata_Robo_Parcial_URDF_V1.2/meshes/Knee_Link.STL,,RDS51150-3/Servo_Drive-1;RDS51150-3/Servo_Idler-1;RDS51150-3/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing5.STEP-1;RDS51150-3/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing3.STEP-1;RDS51150-3/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing8.STEP-1;RDS51150-3/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing4.STEP-1;Pieza12-1;Conector_Servo2-1;RDS51150-1/Servo_Drive-1;RDS51150-1/Servo_Idler-1;RDS51150-1/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing5.STEP-1;RDS51150-1/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing3.STEP-1;RDS51150-1/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing8.STEP-1;RDS51150-1/57155K589_Ball Bearing-1/57155K589_Ball Bearing.STEP-1/57155K589_Ball Bearing4.STEP-1;Conector_Servo2-2,Coordinate_System_K,Axis_Joint_K,Knee_Joint,revolute,0.11945,0,0,-1.5708,0,0,Hip_Link,0,0,1,100,100,-1.5708,1.5708,,,,,,,,
Ankle_Link,0.14628,-0.012034,-0.00027145,0,0,0,0.38215,0.00046168,3.9328E-05,-1.1677E-07,0.00052581,1.7837E-08,0.00059799,0,0,0,0,0,0,package://Pata_Robo_Parcial_URDF_V1.2/meshes/Ankle_Link.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://Pata_Robo_Parcial_URDF_V1.2/meshes/Ankle_Link.STL,,RDS51150-1/RDS51150-1-1;RDS51150-1/90751A110_18-8 Stainless Steel Socket Head Screws-3;RDS51150-1/90751A110_18-8 Stainless Steel Socket Head Screws-2;RDS51150-1/94459A768_Heat-Set Inserts for Plastic-9;RDS51150-1/94459A768_Heat-Set Inserts for Plastic-8;RDS51150-1/94459A768_Heat-Set Inserts for Plastic-1;RDS51150-1/90751A110_18-8 Stainless Steel Socket Head Screws-1;RDS51150-1/90751A110_18-8 Stainless Steel Socket Head Screws-4;RDS51150-1/92000A106_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-2;RDS51150-1/92000A106_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-1;RDS51150-1/94459A768_Heat-Set Inserts for Plastic-7;RDS51150-1/94459A768_Heat-Set Inserts for Plastic-4;Conector_Servo1-1;RDS51150-1/94459A768_Heat-Set Inserts for Plastic-2;RDS51150-1/94459A768_Heat-Set Inserts for Plastic-6;Pieza10V2-1;pie V1-1;RDS51150-1/94459A768_Heat-Set Inserts for Plastic-3;RDS51150-1/94459A768_Heat-Set Inserts for Plastic-5,Coordinate_System_A,Axis_Joint_A,Ankle_Joint,revolute,0.23605,0,0,3.1416,0,0,Knee_Link,0,0,-1,100,100,-1.5708,1.5708,,,,,,,,
